targetid,z,zerr,chi2,spectype,morphtype,ebv,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z,flux_ivar_w1,flux_ivar_w2,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag
39627860440254093,1.069643654326117,5.1071777790741704e-05,8650.631444513798,GALAXY,EXP,0.02952342,0.97239393,1.1469327,2.4835737,4.104213,4.9873104,804.5651,231.7521,72.12216,2.9469686,0.601654,0.46079928,0.54350996,1.1769191,0.46079928,0.54350996,1.1769191,0.0,0.0,0.0
39627860448642132,1.250507108615797,6.927471626561823e-05,8547.78848028183,GALAXY,PSF,0.027242763,0.46328494,0.735952,1.4632823,10.861651,25.515137,2108.0752,654.09753,243.62296,2.8040428,0.5562702,0.36045048,0.5725942,1.1384804,0.36045048,0.5725942,1.1384804,0.0,0.0,0.0
39627830199320779,1.424776898342151,7.934994684901846e-05,7758.734055638313,GALAXY,REX,0.020730654,0.45492184,0.43708652,0.7424965,1.3486292,-1.6263285,1441.8767,472.91336,165.46649,2.9234703,0.61464274,0.30015615,0.28838846,0.48989707,0.3001597,0.28839442,0.48990485,0.0,0.0,0.0
39627836222342801,0.4867488546046292,4.679806678261772e-05,9293.493334203959,GALAXY,SER,0.020977343,2.4578445,13.867924,36.669865,76.63955,48.438103,351.84326,71.00118,27.814249,1.2344052,0.36566156,0.8097478,4.568849,12.08105,0.877908,4.844864,13.376217,0.0,0.0,0.0
39627836222344319,1.0263406119094372,0.00011262022061344315,8518.77861149609,GALAXY,REX,0.02087716,0.007441196,0.6082644,4.8229437,29.341951,22.874884,1075.8225,257.6403,52.867386,2.3249655,0.5303414,0.004020692,0.32866272,2.605975,0.004020692,0.32866272,2.605975,0.0,0.0,0.0
39627848318717481,1.0018697014542337,2.2252513835101814e-05,8312.237617969513,GALAXY,REX,0.027257917,0.49807864,0.6673939,1.3157765,1.7318587,-0.8374307,618.8209,217.68362,47.983948,2.9188056,0.61414963,0.290382,0.38909355,0.7671033,0.290382,0.38909355,0.7671033,0.0,0.0,0.0
39627842262143068,1.6018888386634285,7.273729104972895e-05,7978.921728134155,GALAXY,PSF,0.02395562,0.3525904,0.36844596,0.55278164,0.49697047,-1.1621145,1956.2552,619.30707,109.95657,3.0144334,0.60083437,0.27408057,0.28640562,0.42969605,0.27408397,0.28641033,0.42970267,0.0,0.0,0.0
39627872456936767,0.8974687069650235,0.00020571746028272663,7962.51242249459,GALAXY,DEV,0.029774738,0.16774397,1.0485889,6.6398754,28.228003,17.130999,1006.97504,235.28793,67.80836,2.3056326,0.5294289,0.072271526,0.45177844,2.860752,0.072271526,0.45177847,2.860752,0.0,0.0,0.0
39627890572137657,1.392528786202469,7.676257452308299e-05,7603.335370123386,GALAXY,PSF,0.02884782,0.36895487,0.36774874,0.5014892,-0.8412092,4.1565647,1079.6313,118.85424,71.353745,3.0073078,0.624344,0.28653628,0.2855996,0.3894646,0.28653628,0.2855996,0.3894646,0.0,0.0,0.0
39627866505221432,0.8439128106465521,1.4660667777855709e-05,8097.135449886322,GALAXY,REX,0.028240237,0.56040055,0.70493245,1.8195008,1.2763063,-0.53202355,592.8546,168.92049,23.97338,3.2325864,0.61872333,0.29874015,0.37578773,0.9699455,0.29874015,0.37578773,0.9699455,0.0,0.0,0.0
39627866480052457,1.1573947075350517,7.682321581047933e-05,8311.334266930819,GALAXY,REX,0.028494343,0.37272462,0.35869336,0.43761522,-1.3981168,-0.612461,1556.2047,465.78693,148.46915,3.1405833,0.64262277,0.23263726,0.22387959,0.2731389,0.23263726,0.22387959,0.2731389,0.0,0.0,0.0
39627872511464718,0.7024729634922581,8.015958617580058e-05,8498.533717766404,GALAXY,SER,0.02923052,0.61497957,2.9694772,12.215468,45.78571,24.874424,825.415,204.34282,69.01458,2.1541376,0.54321456,0.28494644,1.3758862,5.6599507,0.28494644,1.3758862,5.6599507,0.0,0.0,0.0
39627872515654595,1.4578509088317901,0.0003390147189290158,7648.564678732306,QSO,PSF,0.030171754,6.1596894,8.158695,8.02769,17.111956,31.624083,1091.9833,414.98935,122.182816,2.7288003,0.58009946,4.7967687,6.3534656,6.251447,4.7975454,6.3545647,6.2539644,20.41399,20.29399,19.731997
39627890647630521,0.5395360169328107,6.831629603444833e-05,8443.46358627081,GALAXY,,0.03042099,-0.01643507,0.6059252,2.0647125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39627896683236883,0.8480306606523911,1.8031741269146072e-05,7893.445140361786,GALAXY,REX,0.03331802,0.6237827,0.89197993,2.0071483,4.2844033,1.6558312,547.68726,175.96732,47.663986,2.9633713,0.6172086,0.36342493,0.51968056,1.1693939,0.36342493,0.51968056,1.1693939,0.0,0.0,0.0
39627914752295792,1.3430901801224273,0.00022202471894044402,9300.97380695492,QSO,PSF,0.031963233,2.9142077,4.8789425,5.2774267,12.488583,22.5467,1287.4221,374.76126,91.03376,2.732899,0.5871431,2.2665682,3.7946699,4.104597,2.2665682,3.7946699,4.104597,20.763266,20.684866,20.096237
39627914727132174,1.0781099273480093,0.0006072991659385835,7772.579810442403,QSO,PSF,0.04583371,0.51231784,0.7776202,1.1555883,3.5625873,5.7679586,2027.2781,757.2733,125.48897,3.404429,0.6754584,0.39862555,0.6050527,0.8991431,0.39862555,0.6050527,0.8991431,0.0,0.0,0.0
39627896624517852,0.9588427202182868,0.0001321048234692964,9251.34759760648,GALAXY,PSF,0.037719455,0.090555206,0.5742499,3.2932076,16.578533,15.936228,918.5857,288.57132,74.85417,2.230973,0.5995478,0.0705117,0.44714534,2.5642884,0.07054307,0.4472225,2.5644066,0.0,0.0,0.0
39627926760591112,1.1283298515854132,0.00012616909470119828,8057.626160830259,GALAXY,PSF,0.035953443,1.3090881,1.6513878,2.5961523,8.94887,10.298479,1761.7856,692.4456,111.191986,3.2980046,0.6784744,1.0174879,1.28354,2.0178576,1.0174879,1.2835401,2.0178576,0.0,0.0,0.0
39627872431772510,0.7924062892384813,9.677897004413431e-05,8083.356388442218,GALAXY,DEV,0.023454122,0.18236713,1.1054119,5.9969206,26.224302,13.990074,964.1637,249.7655,36.034958,2.2044897,0.4987572,0.086173825,0.5223396,2.833721,0.08617582,0.522342,2.833726,0.0,0.0,0.0
39627872414990691,1.193337429497683,4.840201940938822e-05,7861.365392565727,GALAXY,EXP,0.021534389,0.6736776,0.81071496,1.9468603,1.2064859,3.785161,687.63477,238.88467,41.454334,2.699309,0.5466308,0.2269048,0.27306104,0.6557319,0.22690481,0.27306107,0.655732,0.0,0.0,0.0
39627872419188253,1.107065572305645,2.6385330287057767e-05,7820.097227573395,GALAXY,DEV,0.02613789,1.1252563,1.6316153,3.2368703,2.3613322,1.9590249,206.40594,57.28363,14.098354,2.090766,0.43800646,0.30110523,0.43660092,0.8661481,0.30110523,0.43660092,0.8661481,0.0,0.0,0.0
39627878454791105,0.336967010568049,4.725472050176093e-05,7967.526521123946,GALAXY,,0.0241477,0.45430633,1.1741879,2.102255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39627878458982693,0.10004908985705044,1.7723140656855097e-06,8548.521986484528,GALAXY,REX,0.024875183,4.1729817,5.02895,7.052428,3.1017659,2.0913327,296.72717,45.505676,19.608215,2.865434,0.6149723,1.4873607,1.7924504,2.5136712,1.4873607,1.7924504,2.5136712,0.0,0.0,0.0
39627884490391786,1.610860753063225,0.00023407439402761706,7998.386394351721,GALAXY,REX,0.022900596,0.4858219,0.59323275,0.8933506,6.9618793,8.912302,763.3485,258.66925,33.660545,2.4893322,0.56994605,0.2703397,0.33010936,0.4971125,0.3150698,0.42340273,0.63291323,0.0,0.0,0.0
39627884511364870,1.4957492781324382,0.00016661332777090718,7618.367785483599,GALAXY,REX,0.032697514,0.36982656,0.4184329,0.71217376,3.5948434,6.2364173,940.61426,245.88994,113.37133,2.9875064,0.5643314,0.2542545,0.28767118,0.48961708,0.2542545,0.28767118,0.48961708,0.0,0.0,0.0
39627896578377289,1.3030982474202941,3.652589517995899e-05,7815.13902592659,GALAXY,REX,0.024064478,0.4270073,0.47680968,0.91640514,2.4882782,0.19556588,907.9615,265.78674,91.38748,3.3151762,0.6634374,0.29075205,0.32466283,0.62398624,0.29075205,0.32466283,0.62398624,0.0,0.0,0.0
39627914660021982,0.9433886612908364,0.00012715602164478057,8060.644291713834,GALAXY,REX,0.025775585,0.11515574,0.5719859,4.0593123,20.701574,10.259576,863.6483,368.92148,40.718697,2.46864,0.57732886,0.07615008,0.3782423,2.6843383,0.07615025,0.37824687,2.6843698,0.0,0.0,0.0
39627896557407147,0.9596612061133164,0.0004392628081064537,7990.780429622158,GALAXY,REX,0.02020572,1.0581186,2.1551182,7.8347797,37.476963,22.590801,937.28253,222.79861,51.425095,2.2777433,0.534747,0.5182977,1.0556405,3.8377063,0.5182992,1.0556446,3.8377144,0.0,0.0,0.0
39627908607641340,0.43723135645610306,5.9661841331232604e-05,8440.103005521,GALAXY,DEV,0.023418784,4.1596537,22.369549,55.89738,106.104355,62.934223,381.00217,55.958282,13.074178,1.357566,0.39197224,1.1721661,6.3036084,15.751555,1.1721661,6.3036084,15.751555,0.0,0.0,0.0
